2023-05-26 22:15:36.888 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:15:36.889 315:pos-tag                INFO     ********************
2023-05-26 22:15:36.889 316:pos-tag                INFO     Best MCC:0.0963
2023-05-26 22:15:36.889 317:pos-tag                INFO     ********************
2023-05-26 22:15:39.996 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:15:41.606 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:15:41.606 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:15:41.607 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:15:48.240 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:15:48.240 401:pos-tag                INFO     eval_acc = 0.2067
2023-05-26 22:15:48.240 401:pos-tag                INFO     eval_f1 = 0.0158
2023-05-26 22:15:48.241 401:pos-tag                INFO     eval_mcc = 0.1297
2023-05-26 22:15:48.241 401:pos-tag                INFO     eval_precision = 0.035
2023-05-26 22:15:48.241 401:pos-tag                INFO     eval_recall = 0.023
2023-05-26 22:15:48.241 293:pos-tag                INFO     ********************
2023-05-26 22:15:48.241 294:pos-tag                INFO     Best f1:0.0158
2023-05-26 22:15:48.241 295:pos-tag                INFO     ********************
2023-05-26 22:15:51.088 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:15:51.089 315:pos-tag                INFO     ********************
2023-05-26 22:15:51.089 316:pos-tag                INFO     Best MCC:0.1297
2023-05-26 22:15:51.089 317:pos-tag                INFO     ********************
2023-05-26 22:15:54.123 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:15:55.736 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:15:55.736 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:15:55.736 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:16:02.391 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:16:02.392 401:pos-tag                INFO     eval_acc = 0.2647
2023-05-26 22:16:02.392 401:pos-tag                INFO     eval_f1 = 0.0362
2023-05-26 22:16:02.392 401:pos-tag                INFO     eval_mcc = 0.2025
2023-05-26 22:16:02.392 401:pos-tag                INFO     eval_precision = 0.0687
2023-05-26 22:16:02.392 401:pos-tag                INFO     eval_recall = 0.0421
2023-05-26 22:16:02.393 293:pos-tag                INFO     ********************
2023-05-26 22:16:02.393 294:pos-tag                INFO     Best f1:0.0362
2023-05-26 22:16:02.393 295:pos-tag                INFO     ********************
