2023-05-23 21:57:15.186 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:57:15.987 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:57:15.987 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:57:15.987 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:57:20.729 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:57:20.729 401:pos-tag                INFO     eval_acc = 0.0781
2023-05-23 21:57:20.729 401:pos-tag                INFO     eval_f1 = 0.0086
2023-05-23 21:57:20.729 401:pos-tag                INFO     eval_mcc = 0.0583
2023-05-23 21:57:20.729 401:pos-tag                INFO     eval_precision = 0.0132
2023-05-23 21:57:20.729 401:pos-tag                INFO     eval_recall = 0.0086
2023-05-23 21:57:20.729 293:pos-tag                INFO     ********************
2023-05-23 21:57:20.729 294:pos-tag                INFO     Best f1:0.0086
2023-05-23 21:57:20.729 295:pos-tag                INFO     ********************
2023-05-23 21:57:22.018 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:57:22.018 315:pos-tag                INFO     ********************
2023-05-23 21:57:22.018 316:pos-tag                INFO     Best MCC:0.0583
2023-05-23 21:57:22.018 317:pos-tag                INFO     ********************
2023-05-23 21:57:23.384 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:57:24.173 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:57:24.173 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:57:24.173 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:57:28.912 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:57:28.912 401:pos-tag                INFO     eval_acc = 0.1144
2023-05-23 21:57:28.912 401:pos-tag                INFO     eval_f1 = 0.0113
2023-05-23 21:57:28.912 401:pos-tag                INFO     eval_mcc = 0.0874
2023-05-23 21:57:28.912 401:pos-tag                INFO     eval_precision = 0.0156
2023-05-23 21:57:28.913 401:pos-tag                INFO     eval_recall = 0.0133
2023-05-23 21:57:28.913 293:pos-tag                INFO     ********************
2023-05-23 21:57:28.913 294:pos-tag                INFO     Best f1:0.0113
2023-05-23 21:57:28.913 295:pos-tag                INFO     ********************
2023-05-23 21:57:30.196 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:57:30.196 315:pos-tag                INFO     ********************
2023-05-23 21:57:30.196 316:pos-tag                INFO     Best MCC:0.0874
2023-05-23 21:57:30.196 317:pos-tag                INFO     ********************
2023-05-23 21:57:31.268 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:57:32.059 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:57:32.059 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:57:32.059 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:57:36.798 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:57:36.798 401:pos-tag                INFO     eval_acc = 0.1475
2023-05-23 21:57:36.798 401:pos-tag                INFO     eval_f1 = 0.0143
2023-05-23 21:57:36.798 401:pos-tag                INFO     eval_mcc = 0.114
2023-05-23 21:57:36.798 401:pos-tag                INFO     eval_precision = 0.0185
2023-05-23 21:57:36.798 401:pos-tag                INFO     eval_recall = 0.018
2023-05-23 21:57:36.799 293:pos-tag                INFO     ********************
2023-05-23 21:57:36.799 294:pos-tag                INFO     Best f1:0.0143
2023-05-23 21:57:36.799 295:pos-tag                INFO     ********************
2023-05-23 21:57:37.895 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:57:37.896 315:pos-tag                INFO     ********************
2023-05-23 21:57:37.896 316:pos-tag                INFO     Best MCC:0.114
2023-05-23 21:57:37.896 317:pos-tag                INFO     ********************
2023-05-23 21:57:38.919 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:57:39.713 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:57:39.713 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:57:39.713 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:57:44.454 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:57:44.454 401:pos-tag                INFO     eval_acc = 0.1827
2023-05-23 21:57:44.454 401:pos-tag                INFO     eval_f1 = 0.0198
2023-05-23 21:57:44.454 401:pos-tag                INFO     eval_mcc = 0.1446
