2022-08-28 04:31:02.903 401:pos-tag                INFO     eval_precision = 0.0212
2022-08-28 04:31:02.903 401:pos-tag                INFO     eval_recall = 0.0203
2022-08-28 04:31:02.903 293:pos-tag                INFO     ********************
2022-08-28 04:31:02.903 294:pos-tag                INFO     Best f1:0.013
2022-08-28 04:31:02.903 295:pos-tag                INFO     ********************
2022-08-28 04:31:05.678 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:31:05.678 315:pos-tag                INFO     ********************
2022-08-28 04:31:05.679 316:pos-tag                INFO     Best MCC:0.0558
2022-08-28 04:31:05.679 317:pos-tag                INFO     ********************
2022-08-28 04:31:07.189 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:31:08.013 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:31:08.014 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:31:08.014 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:31:11.392 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:31:11.392 401:pos-tag                INFO     eval_acc = 0.1418
2022-08-28 04:31:11.392 401:pos-tag                INFO     eval_f1 = 0.0173
2022-08-28 04:31:11.392 401:pos-tag                INFO     eval_mcc = 0.0853
2022-08-28 04:31:11.392 401:pos-tag                INFO     eval_precision = 0.0382
2022-08-28 04:31:11.392 401:pos-tag                INFO     eval_recall = 0.0245
2022-08-28 04:31:11.392 293:pos-tag                INFO     ********************
2022-08-28 04:31:11.392 294:pos-tag                INFO     Best f1:0.0173
2022-08-28 04:31:11.393 295:pos-tag                INFO     ********************
2022-08-28 04:31:14.895 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:31:14.895 315:pos-tag                INFO     ********************
2022-08-28 04:31:14.895 316:pos-tag                INFO     Best MCC:0.0853
2022-08-28 04:31:14.896 317:pos-tag                INFO     ********************
2022-08-28 04:31:17.004 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:31:17.838 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:31:18.539 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:31:18.540 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:31:21.933 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:31:21.933 401:pos-tag                INFO     eval_acc = 0.1888
2022-08-28 04:31:21.933 401:pos-tag                INFO     eval_f1 = 0.0198
2022-08-28 04:31:21.933 401:pos-tag                INFO     eval_mcc = 0.1228
2022-08-28 04:31:21.933 401:pos-tag                INFO     eval_precision = 0.0523
2022-08-28 04:31:21.934 401:pos-tag                INFO     eval_recall = 0.0273
2022-08-28 04:31:21.934 293:pos-tag                INFO     ********************
2022-08-28 04:31:21.934 294:pos-tag                INFO     Best f1:0.0198
2022-08-28 04:31:21.934 295:pos-tag                INFO     ********************
2022-08-28 04:31:23.084 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:31:23.084 315:pos-tag                INFO     ********************
2022-08-28 04:31:23.085 316:pos-tag                INFO     Best MCC:0.1228
2022-08-28 04:31:23.085 317:pos-tag                INFO     ********************
2022-08-28 04:31:24.834 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:31:25.666 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:31:25.666 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:31:25.666 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:31:29.040 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:31:29.041 401:pos-tag                INFO     eval_acc = 0.1987
2022-08-28 04:31:29.041 401:pos-tag                INFO     eval_f1 = 0.0165
2022-08-28 04:31:29.041 401:pos-tag                INFO     eval_mcc = 0.1318
2022-08-28 04:31:29.041 401:pos-tag                INFO     eval_precision = 0.0517
2022-08-28 04:31:29.041 401:pos-tag                INFO     eval_recall = 0.0245
2022-08-28 04:31:29.041 315:pos-tag                INFO     ********************
2022-08-28 04:31:29.041 316:pos-tag                INFO     Best MCC:0.1318
2022-08-28 04:31:29.041 317:pos-tag                INFO     ********************
2022-08-28 04:31:31.383 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:31:32.208 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:31:32.208 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:31:32.208 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:31:35.586 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:31:35.586 401:pos-tag                INFO     eval_acc = 0.2164
2022-08-28 04:31:35.586 401:pos-tag                INFO     eval_f1 = 0.0198
2022-08-28 04:31:35.587 401:pos-tag                INFO     eval_mcc = 0.1531
2022-08-28 04:31:35.587 401:pos-tag                INFO     eval_precision = 0.0473
2022-08-28 04:31:35.587 401:pos-tag                INFO     eval_recall = 0.0269
2022-08-28 04:31:35.587 293:pos-tag                INFO     ********************
2022-08-28 04:31:35.587 294:pos-tag                INFO     Best f1:0.0198
2022-08-28 04:31:35.587 295:pos-tag                INFO     ********************
2022-08-28 04:31:39.301 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:31:39.301 315:pos-tag                INFO     ********************
2022-08-28 04:31:39.301 316:pos-tag                INFO     Best MCC:0.1531
2022-08-28 04:31:39.302 317:pos-tag                INFO     ********************
